Student_ID,Age,Gender,Family_Income,Internet_Access,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Part_Time_Job,Scholarship,Stress_Index,GPA,Semester_GPA,CGPA,Semester,Parental_Education,Dropout,Department_Arts,Department_Business,Department_CS,Department_Engineering,Department_Science
1,22.1,Male,25000.0,1,3.36,86.1,2,20.4,1,0,5.5,0.96,0.9,0.9,Year 1,0,0,True,False,False,False,False
2,20.7,Male,25000.0,1,4.3,68.0,2,44.0,0,0,6.8,1.28,1.2,1.19,Year 3,1,1,False,False,False,True,False
3,22.4,Male,40183.0,1,4.4,70.9,0,48.9,1,0,5.5,1.68,1.32,1.32,Year 1,2,0,True,False,False,False,False
5,20.5,Female,25319.0,1,4.19,75.7,1,23.0,0,0,7.0,1.48,0.91,0.87,Year 4,1,0,False,True,False,False,False
7,24.5,Male,25000.0,1,3.0,78.2,1,37.4,1,1,7.3,0.64,0.33,0.44,Year 4,1,0,False,False,True,False,False
8,22.7,Female,25000.0,1,2.12,86.4,1,34.0,0,1,6.5,1.79,1.14,1.14,Year 1,0,0,True,False,False,False,False
9,20.0,Male,57413.0,1,4.07,97.5,3,52.1,0,0,4.2,3.08,2.81,2.81,Year 1,0,0,False,False,True,False,False
10,22.2,Female,44930.0,1,2.98,82.2,1,19.7,0,0,6.7,1.59,1.73,1.73,Year 1,2,0,False,False,False,False,True
11,20.0,Female,25000.0,1,5.27,73.9,3,39.3,1,0,7.2,1.52,1.5,1.46,Year 3,1,1,False,True,False,False,False
12,20.0,Male,46056.0,1,2.37,85.2,6,20.2,1,1,8.0,0.0,0.15,0.15,Year 2,1,1,False,False,False,True,False
14,17.0,Female,27000.0,1,4.2,84.0,1,61.2,0,1,4.8,2.68,2.7,2.7,Year 1,1,0,False,True,False,False,False
16,19.8,Male,26246.0,0,3.49,72.5,2,52.2,0,0,7.0,2.81,3.15,3.15,Year 1,2,0,True,False,False,False,False
17,18.8,Female,28037.0,1,4.24,90.0,2,36.5,0,1,4.6,2.55,2.2,2.2,Year 1,0,0,False,False,False,True,False
18,21.7,Female,25000.0,1,4.8,77.2,0,34.8,1,1,4.3,1.99,1.8,1.78,Year 4,2,0,False,True,False,False,False
19,19.0,Female,37058.0,1,4.99,93.0,2,22.5,0,0,4.7,3.25,3.59,3.59,Year 1,1,0,True,False,False,False,False
20,17.9,Male,35168.0,1,4.48,65.0,1,41.7,0,0,5.6,1.71,1.63,1.63,Year 1,1,1,False,True,False,False,False
21,24.2,Female,38833.0,1,6.35,99.8,2,30.3,0,1,3.9,2.63,2.23,2.23,Year 1,1,0,False,False,True,False,False
22,20.5,Male,35149.0,1,3.48,79.8,0,31.0,1,0,6.3,2.09,2.01,2.0,Year 3,2,0,True,False,False,False,False
23,21.1,Female,46069.0,1,6.25,72.3,2,26.9,1,1,2.4,4.0,4.0,3.92,Year 3,1,0,False,False,True,False,False
24,17.9,Female,26700.0,1,4.9,89.3,3,28.8,0,1,4.0,3.14,3.11,3.04,Year 4,1,0,False,True,False,False,False
25,19.8,Female,33559.0,1,4.32,86.1,3,30.3,1,0,5.8,0.42,0.39,0.43,Year 4,3,1,False,True,False,False,False
26,21.2,Female,25000.0,1,4.42,85.6,2,31.5,0,0,3.8,3.47,3.7,3.66,Year 2,2,0,False,False,True,False,False
27,18.5,Female,25000.0,1,5.22,89.4,0,29.4,0,0,4.7,1.66,1.77,1.67,Year 3,1,0,False,False,False,False,True
28,21.8,Female,66367.0,1,3.07,82.3,4,11.3,0,0,5.3,1.01,0.91,0.82,Year 3,0,0,False,False,True,False,False
29,19.7,Male,25000.0,1,4.19,79.7,1,36.5,1,0,9.3,1.15,0.77,0.76,Year 3,0,0,False,True,False,False,False
31,19.7,Female,25000.0,1,6.08,81.1,7,5.0,1,0,5.9,3.96,3.8,3.82,Year 4,1,0,False,False,True,False,False
33,21.0,Male,34785.0,1,6.6,81.9,2,24.3,0,0,3.6,3.62,3.52,3.53,Year 4,3,0,True,False,False,False,False
